Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type
1006032852,Sexy,Low,4.6,M,Summer,o-neck,sleevless,empire,null,chiffon,ruffles,animal
1212192089,Casual,Low,0,L,Summer,o-neck,Petal,natural,microfiber,null,ruffles,animal
1190380701,vintage,High,0,L,Automn,o-neck,full,natural,polyster,null,null,print
966005983,Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print
876339541,cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot
1068332458,bohemian,Low,0,M,Summer,v-neck,sleevless,empire,null,null,null,print
1220707172,Casual,Average,0,XL,Summer,o-neck,full,null,cotton,null,null,solid
1219677488,Novelty,Average,0,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,null
1113094204,Flare,Average,0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid
985292672,bohemian,Low,0,free,Summer,v-neck,sleevless,natural,nylon,chiffon,null,null
1117293701,party,Average,5,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid
898481530,Flare,Average,0,free,Spring,v-neck,short,null,nylon,null,null,animal
957723897,sexy,Low,4.7,M,Winter,o-neck,threequarter,null,null,chiffon,lace,print
749031896,vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,null,animal
1055411544,Casual,Low,5,M,Summer,boat-neck,short,null,cotton,null,sashes,solid
1162628131,Casual,Low,0,free,Winter,boat-neck,full,null,other,other,lace,null
624314841,cute,Average,4.7,L,spring,o-neck,short,null,cotton,null,sashes,solid
830467746,bohemian,Medium,5,free,Automn,o-neck,full,natural,null,null,hollowout,patchwork
840857118,Brief,Average,0,M,Winter,peterpan-collor,threequarter,natural,cotton,null,null,patchwork
1113221101,Sexy,Average,5,M,Automn,o-neck,sleevless,empire,milksilk,null,null,null
861754372,Sexy,Average,4.5,L,Automn,o-neck,full,null,cotton,null,beading,solid
856178100,Casual,Low,4.3,M,Summer,o-neck,sleevless,natural,null,chiffon,null,solid
1122989777,Brief,Low,4,XL,Summer,v-neck,short,natural,cotton,null,pockets,solid
840516484,Sexy,Average,4.7,S,Summer,v-neck,sleevless,empire,cotton,null,sequined,solid
768517084,Sexy,Average,0,free,Automn,v-neck,sleevless,natural,polyster,null,lace,patchwork
1139843344,Sexy,Average,0,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,null,print
1004212992,Sexy,Average,4.7,M,Spring,o-neck,sleevless,natural,null,null,null,solid
1235426503,Casual,Low,0,L,Summer,o-neck,sleevless,natural,cotton,jersey,null,print
942808364,cute,Low,4.3,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped
629131530,cute,Low,4.7,M,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot
851945460,Casual,Average,4.6,L,Automn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid
1150275464,Casual,Low,0,M,Spring,o-neck,sleevless,natural,silk,chiffon,applique,solid
