Dataset,Element,Region,Sub-region,Year,Millions of metric tons
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,IFSA Countries,"IFSA Countries, Total",2021, 694.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,IFSA Countries,"IFSA Countries, Total",2031, 911.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,IFSA Countries,"IFSA Countries, Total",2021, 349.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,IFSA Countries,"IFSA Countries, Total",2031, 465.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,IFSA Countries,"IFSA Countries, Total",2021," 1,043.5 "
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,IFSA Countries,"IFSA Countries, Total",2031," 1,376.5 "
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,IFSA Countries,"IFSA Countries, Total",2021, 770.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,IFSA Countries,"IFSA Countries, Total",2031, 982.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,IFSA Countries,"IFSA Countries, Total",2021, 273.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,IFSA Countries,"IFSA Countries, Total",2031, 394.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,"Asia, Total",2021, 481.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,"Asia, Total",2031, 618.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,"Asia, Total",2021, 171.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,"Asia, Total",2031, 227.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,"Asia, Total",2021, 652.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,"Asia, Total",2031, 845.4 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,"Asia, Total",2021, 546.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,"Asia, Total",2031, 668.6 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,"Asia, Total",2021, 105.6 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,"Asia, Total",2031, 176.8 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Commonwealth of Independent States,2021, 13.5 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Commonwealth of Independent States,2031, 16.2 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Commonwealth of Independent States,2021, 23.8 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Commonwealth of Independent States,2031, 31.8 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Commonwealth of Independent States,2021, 37.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Commonwealth of Independent States,2031, 48.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,Commonwealth of Independent States,2021, 21.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Grain production,Asia,Commonwealth of Independent States,2031, 33.0 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Commonwealth of Independent States,2021, 16.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Implied additional supply required,Asia,Commonwealth of Independent States,2031, 15.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Central and Southern Asia,2021, 334.6 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Food grain demand,Asia,Central and Southern Asia,2031, 440.4 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Central and Southern Asia,2021, 79.1 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Other grain demand,Asia,Central and Southern Asia,2031, 109.3 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Central and Southern Asia,2021, 413.7 
"Grain food demand, other demand, total demand, production and implied additional supply requirement for International Food Security Assessment countries",Total grain demand,Asia,Central and Southern Asia,2031, 549.7 
