Id,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
697990,13:00.0,7.7,2012-01-31 16:13:00 UTC,0,0,0,0,1
320875,21:15.0,15.7,2009-01-07 10:21:15 UTC,-73.983818,40.725618,-73.985162,40.770213,1
599239,03:03.0,8,2013-03-18 01:03:03 UTC,-73.996777,40.760255,-74.004296,40.752213,1
535725,11:32.0,7.7,2011-05-19 20:11:32 UTC,-73.965288,40.754978,-73.983005,40.770879,1
621273,02:00.0,6.5,2010-07-02 12:02:00 UTC,-73.966662,40.76134,-73.958205,40.78298,1
372325,24:09.0,6.5,2009-05-15 21:24:09 UTC,-73.992018,40.729119,-73.975817,40.733242,1
371199,38:00.0,15,2013-03-28 12:38:00 UTC,-73.971712,40.757215,-74.001192,40.722352,1
63588,32:00.0,5.3,,-73.954118,40.774483,-73.954927,40.781683,1
560515,59:00.0,8,2013-11-26 09:59:00 UTC,-73.955818,40.778932,-73.952215,40.772192,1
658990,46:00.0,26.5,2013-06-07 19:46:00 UTC,-73.984557,40.766947,-74.004327,40.72288,1
897803,11:51.0,8.9,2012-03-03 21:11:51 UTC,-73.998628,40.741323,-73.983168,40.723544,1
6416,26:49.0,6.1,2010-05-28 19:26:49 UTC,-73.137393,41.366138,-73.137393,41.366138,1
34589,47:10.0,8.5,2012-05-21 10:47:10 UTC,-73.990097,40.774068,-73.961443,40.764342,1
644055,20:43.0,7.5,2013-08-23 20:20:43 UTC,,,-74.00304,40.734933,1
441514,08:03.0,9.7,2009-04-14 20:08:03 UTC,0,0,0,0,3
802312,37:00.0,8.5,2009-10-03 09:37:00 UTC,-73.968588,40.761523,-73.995895,40.730143,5
368484,26:07.0,9.7,2010-06-21 08:26:07 UTC,-73.992831,40.742748,-74.006819,40.714275,1
728454,24:10.0,5.7,2011-02-02 14:24:10 UTC,-73.977891,40.766332,-73.962474,40.772268,1
640326,13:35.0,17.3,2012-08-28 14:13:35 UTC,-74.014884,40.714315,-73.97716,40.755624,1
609684,06:36.0,7,2015-05-18 13:06:36 UTC,0,0,-74.01312256,40.70406723,1
667194,50:32.0,10,2014-08-09 00:50:32 UTC,-73.994121,40.72007,-73.998263,40.7371,1
208851,26:00.0,25,2014-08-13 08:26:00 UTC,-73.947785,40.783472,,,1
865651,39:32.0,8.5,2012-09-25 16:39:32 UTC,-73.991903,40.754621,-73.991792,40.768857,1
458675,02:00.0,9.7,2012-06-29 01:02:00 UTC,-73.992105,40.759232,-73.981397,40.734292,1
974300,56:00.0,6.9,2009-12-08 15:56:00 UTC,-74.004547,40.737792,-73.995992,40.759895,5
73578,41:30.0,6.5,2011-05-19 01:41:30 UTC,-73.996266,40.725541,-73.980466,40.747743,1
344843,09:00.0,3.3,2009-12-07 08:09:00 UTC,-73.959182,40.778033,-73.957895,40.78303,2
4652,01:00.0,9.5,2013-03-17 14:01:00 UTC,-73.983547,40.743075,-73.993113,40.749852,1
889461,01:00.0,20.1,2012-03-08 20:01:00 UTC,-73.976282,40.739933,-73.95278,40.810943,4
238572,34:31.0,14.9,2010-04-25 21:34:31 UTC,-74.004067,40.725624,-73.953468,40.677174,1
450965,09:00.0,6.1,2009-05-08 17:09:00 UTC,-73.982715,40.764532,-73.97847,40.749272,5
689765,46:00.0,36.27,2010-10-17 23:46:00 UTC,-73.874527,40.774098,-74.01631,40.714753,5
711288,38:21.0,4.5,2014-07-03 09:38:21 UTC,-73.999729,40.733322,-73.996471,40.726815,1
803908,26:10.0,6,2014-10-01 13:26:10 UTC,-73.966023,40.795105,-73.967467,40.804618,1
894987,46:15.0,9,2014-04-09 20:46:15 UTC,-73.981165,40.769162,-73.963284,40.774898,1
50287,14:00.0,8,2014-10-06 09:14:00 UTC,-73.97325,40.76394,-73.97975,40.754743,6
398045,25:00.0,3.7,2011-07-27 08:25:00 UTC,-74.001515,40.747295,-74.00673,40.742347,1
434789,19:00.0,9.5,2013-02-25 20:19:00 UTC,-73.967858,40.765707,-73.989417,40.756407,2
357287,06:34.0,3.7,2011-10-24 08:06:34 UTC,-74.003033,40.723401,-74.000548,40.73244,2
16809,43:50.0,12.1,2009-09-03 13:43:50 UTC,-73.988875,40.692279,-74.00687,40.717573,1
998915,50:34.0,3.3,2009-06-03 17:50:34 UTC,-73.982977,40.760578,-73.977753,40.758889,2
428068,18:00.0,14,2014-10-10 12:18:00 UTC,-73.995147,40.739765,-73.982437,40.759137,2
817921,05:00.0,11,2013-10-14 17:05:00 UTC,-73.97842,40.737117,-73.978937,40.762222,1
32669,26:00.0,6.1,2010-08-16 09:26:00 UTC,-73.970675,40.756138,-73.979228,40.762133,1
171580,31:00.0,9.3,2009-05-12 10:31:00 UTC,-73.933003,40.821898,-73.993402,40.75728,2
890795,02:07.0,12,2014-06-14 01:02:07 UTC,-73.996927,40.762898,-73.987622,40.732711,1
689084,10:40.0,11,2013-10-16 13:10:40 UTC,-73.98196,40.749244,-73.99447,40.752282,1
714882,25:00.0,4.5,2012-08-20 14:25:00 UTC,-73.991057,40.745377,-73.986633,40.751637,1
845693,50:57.0,20.5,2014-11-26 23:50:57 UTC,-73.947425,40.776434,-74.004626,40.710016,2
384617,12:00.0,9.7,2010-11-30 20:12:00 UTC,-73.992347,40.725182,-73.96947,40.76059,2
327167,25:32.0,4,2015-04-07 17:25:32 UTC,-73.98841858,40.77428436,-73.98277283,40.77574158,1
264588,01:00.0,7.7,2010-06-13 02:01:00 UTC,-73.991087,40.727755,-74.000663,40.742333,1
859561,13:26.0,6,2013-10-30 13:13:26 UTC,-73.984809,40.764027,-73.981175,40.77932,1
547382,08:00.0,11,2013-10-02 01:08:00 UTC,-73.99323,40.724262,-73.993887,40.695932,6
633466,06:22.0,36.33,2013-06-14 14:06:22 UTC,-73.870878,40.773717,-73.970978,40.795593,1
661287,35:27.0,4.9,2010-03-05 13:35:27 UTC,-73.978096,40.752587,-73.990388,40.74528,1
237848,00:38.0,33.83,2013-09-16 19:00:38 UTC,-73.989518,40.741578,-73.871312,40.774332,1
727272,26:00.0,11.5,2014-05-02 01:26:00 UTC,-73.993037,40.757877,-73.984397,40.72721,6
337991,19:06.0,14.5,2013-06-04 10:19:06 UTC,-74.005921,40.735844,-73.985455,40.758195,1
98079,19:00.0,6.5,2014-04-29 17:19:00 UTC,-73.964867,40.755552,-73.966792,40.768222,4
992421,06:00.0,38.33,2014-09-09 11:06:00 UTC,-73.86289,40.769137,-73.980728,40.750912,3
660056,28:47.0,10.9,2012-07-28 18:28:47 UTC,-74.014713,40.709312,-73.994373,40.745898,1
187865,33:00.0,21,2014-10-22 12:33:00 UTC,-73.97537,40.749612,-74.01464,40.7143,1
860995,15:30.0,7.3,2009-06-20 13:15:30 UTC,-73.953976,40.778663,-73.934952,40.798364,2
199839,03:52.0,18.5,2011-11-17 22:03:52 UTC,-73.952852,40.766605,-73.902781,40.708806,1
707306,59:00.0,3.7,2012-02-23 13:59:00 UTC,-73.957307,40.779977,-73.953257,40.78686,1
569430,47:08.0,9.3,2012-08-12 23:47:08 UTC,-74.001668,40.75023,-73.969719,40.788725,1
505605,51:12.0,4.5,2013-07-15 02:51:12 UTC,-73.990827,40.761111,-73.991126,40.751093,1
461895,25:00.0,45.7,2009-08-23 18:25:00 UTC,-73.776707,40.645223,-73.994587,40.688045,1
816697,38:22.0,14,2015-06-15 12:38:22 UTC,-73.97900391,40.78515244,-73.98706818,40.74785995,1
208974,22:39.0,13.5,2015-01-28 21:22:39 UTC,-73.99124146,40.74946976,-73.9859314,40.71941376,1
505832,18:00.0,12.5,2012-01-22 03:18:00 UTC,-73.985975,40.747795,-73.994562,40.712382,1
631770,41:10.0,9.7,2012-01-28 21:41:10 UTC,-73.983042,40.747985,-73.987927,40.728298,1
984257,09:00.0,8.5,2011-09-06 15:09:00 UTC,-73.986565,40.732105,-73.989432,40.747462,1
394160,27:00.0,11.7,2012-02-16 07:27:00 UTC,-74.00928,40.712252,-73.9985,40.754432,5
257248,01:59.0,20.5,2012-12-17 02:01:59 UTC,-73.967758,40.803051,-73.987537,40.73334,1
119155,11:52.0,13.7,2011-07-29 21:11:52 UTC,-73.966591,40.804295,-73.990997,40.750562,1
462114,40:20.0,7.3,2009-08-14 00:40:20 UTC,-73.995374,40.725264,-73.989283,40.726994,4
475386,13:00.0,6,2014-04-15 20:13:00 UTC,-74.00022,40.72124,-74.006782,40.707712,1
869256,02:58.0,5.3,2012-06-24 15:02:58 UTC,-73.970616,40.756364,-73.96199,40.763679,1
381870,39:25.0,11.5,2012-10-25 10:39:25 UTC,-73.97708,40.787815,-73.975691,40.761314,1
972559,23:50.0,4.5,2009-09-23 10:23:50 UTC,-73.980665,40.764537,-73.985348,40.758218,1
72415,09:09.0,92.54,2015-04-12 00:09:09 UTC,-73.98960876,40.73852921,-73.8219223,40.60462952,5
815713,17:43.0,9.5,2013-03-21 04:17:43 UTC,-73.985173,40.723795,-73.962861,40.712082,1
725052,05:16.0,19.3,2012-05-16 19:05:16 UTC,-73.990852,40.755986,-73.943399,40.835806,1
805016,04:00.0,11,2012-12-04 12:04:00 UTC,-73.98569,40.753097,-73.973152,40.764277,6
412886,22:54.0,17,2015-06-14 01:22:54 UTC,-73.99172211,40.72677994,-73.9800415,40.77384949,1
425521,03:29.0,29.3,2012-09-11 04:03:29 UTC,-73.955734,40.820257,-73.861488,40.768196,1
592628,32:00.0,15,2013-12-09 16:32:00 UTC,-73.992888,40.728072,-73.985742,40.68814,1
836786,12:00.0,8.9,2010-08-02 17:12:00 UTC,-73.985235,40.742402,-73.963823,40.771077,1
139462,26:00.0,7.5,2013-07-06 20:26:00 UTC,-73.999855,40.728667,-74.004162,40.713035,1
810056,02:48.0,5.7,2011-09-19 19:02:48 UTC,-73.965676,40.762744,-73.954987,40.768993,2
580381,34:00.0,9.3,2012-03-30 16:34:00 UTC,-73.9691,40.759,-73.958478,40.781392,1
236444,51:00.0,4,2014-05-17 12:51:00 UTC,-73.955608,40.779047,-73.960415,40.771442,1
691374,00:59.0,10,2012-12-01 02:00:59 UTC,-74.004321,40.738024,-73.974256,40.731546,1
772967,35:00.0,11,2013-10-05 03:35:00 UTC,-73.949405,40.784852,-73.980628,40.764932,1
782974,12:00.0,5.3,2010-04-26 16:12:00 UTC,-73.980915,40.7504,-73.980915,40.7504,2
974971,18:12.0,13.5,2014-02-08 02:18:12 UTC,-73.983392,40.744545,-73.952938,40.780194,3
29142,48:00.0,45,2011-07-20 08:48:00 UTC,-74.000582,40.742332,-73.999503,40.743912,1
601334,05:00.0,31.2,2009-11-06 05:05:00 UTC,-73.98866,40.760752,-73.872588,40.7743,5
107144,29:00.0,25,2014-06-04 19:29:00 UTC,-73.977923,40.751942,-73.982692,40.665522,1
754288,27:00.0,4.5,2011-09-13 07:27:00 UTC,-73.95179,40.777687,-73.953965,40.765957,1
918795,33:00.0,7.5,2014-04-05 15:33:00 UTC,-73.97906,40.744477,-73.969735,40.761592,5
624925,19:00.0,15,2013-06-27 13:19:00 UTC,-73.982158,40.75772,-73.987515,40.728752,1
76682,20:00.0,7.3,2009-02-18 08:20:00 UTC,-73.984635,40.759728,-73.990288,40.76954,1
798526,49:00.0,12.5,2013-09-19 18:49:00 UTC,0,0,0,0,1
857908,01:00.0,6.5,2011-03-06 19:01:00 UTC,-73.963468,40.71038,-73.963468,40.71038,2
384286,40:00.0,8.9,2011-08-23 23:40:00 UTC,-73.99913,40.728145,-73.976905,40.751807,5
366544,15:56.0,7.5,2015-06-05 13:15:56 UTC,-73.95905304,40.77168655,-73.96624756,40.76453781,1
98658,24:56.0,7.5,2015-05-14 13:24:56 UTC,-73.96914673,40.79039764,-73.956604,40.78409576,1
165612,37:25.0,5,2013-07-17 10:37:25 UTC,-73.994873,40.731523,-73.993267,40.737708,1
950105,53:00.0,5.5,2013-04-08 05:53:00 UTC,-73.99861,40.734815,-73.990865,40.748855,5
135092,25:00.0,8.9,2009-11-13 21:25:00 UTC,-73.97795,40.754272,-74.005387,40.739952,1
751269,29:00.0,11.5,2013-04-15 09:29:00 UTC,-73.962147,40.762935,-73.984648,40.748485,1
840521,45:00.0,6.1,2010-12-04 08:45:00 UTC,-73.970735,40.75793,-73.990825,40.755103,1
401866,01:00.0,20,2013-10-12 23:01:00 UTC,-74.013272,40.717425,-73.982662,40.782345,1
600907,05:45.0,3.3,2011-12-21 17:05:45 UTC,-73.978869,40.777384,-73.982598,40.772335,2
957850,24:56.0,4.5,2014-01-16 13:24:56 UTC,-73.997532,40.724271,-73.99368,40.724426,2
579532,40:07.0,7.5,2015-01-17 08:40:07 UTC,-73.96768951,40.75981522,-73.95862579,40.78128052,1
372520,11:11.0,49.57,2010-01-09 12:11:11 UTC,-73.790247,40.643609,-73.986207,40.760824,2
21691,36:35.0,14.9,2011-04-07 17:36:35 UTC,-73.960416,40.761432,-74.001304,40.739298,1
611133,11:37.0,14.5,2013-05-17 01:11:37 UTC,-73.928812,40.753583,-73.97966,40.775234,3
202476,13:00.0,18.5,2014-01-07 13:13:00 UTC,-73.956072,40.771707,-74.005077,40.708787,1
114593,47:00.0,31.7,2012-02-07 15:47:00 UTC,-73.871205,40.773777,-73.981475,40.762357,1
420603,21:07.0,4.1,2011-05-02 18:21:07 UTC,-73.990987,40.755869,-73.996284,40.76089,1
79621,42:00.0,6.5,2009-02-22 00:42:00 UTC,-73.992625,40.737485,-74.006933,40.74382,3
139460,16:29.0,6.5,2010-06-03 15:16:29 UTC,-73.98204,40.760253,-73.974261,40.764923,4
618645,44:21.0,10,2013-02-23 10:44:21 UTC,-73.987846,40.770562,-73.99212,40.749453,1
664936,34:00.0,18.5,2014-11-06 15:34:00 UTC,-73.955075,40.783302,-73.968797,40.753332,1
374086,10:00.0,9.3,2011-06-04 00:10:00 UTC,-73.976565,40.755672,-73.947035,40.772043,1
945090,20:00.0,11.5,2013-06-07 01:20:00 UTC,-74.006763,40.739952,-73.98226,40.73044,2
223058,02:41.0,23.7,2010-05-02 17:02:41 UTC,-73.988269,40.696116,-73.925054,40.755579,3
951591,23:15.0,6.1,2011-08-01 17:23:15 UTC,-73.986522,40.768295,-73.999108,40.763964,1
453984,34:00.0,7.5,2014-06-27 17:34:00 UTC,-73.994958,40.740232,-73.989335,40.74935,1
980930,33:22.0,6.9,2010-04-29 09:33:22 UTC,-73.987959,40.749536,-73.969434,40.758253,1
38656,35:00.0,16.5,2014-05-06 22:35:00 UTC,-73.98603,40.755802,-73.94936,40.785612,1
301753,18:24.0,8,2015-04-16 02:18:24 UTC,-73.92259979,40.70632172,-73.94114685,40.69251251,2
591310,27:59.0,9,2014-09-04 19:27:59 UTC,-74.001822,40.740944,-74.00967,40.728177,1
150459,04:23.0,5,2012-11-11 17:04:23 UTC,-73.96206,40.762837,-73.970231,40.766352,1
748274,55:09.0,8.1,2009-05-08 10:55:09 UTC,-73.953245,40.785393,-73.968504,40.763081,1
11306,44:34.0,9.3,2009-11-30 19:44:34 UTC,-73.982172,40.766782,-74.00034,40.732714,1
430191,57:00.0,4.9,2012-02-14 07:57:00 UTC,-73.973888,40.791685,-73.965642,40.805457,2
542464,05:03.0,9.5,2015-05-02 22:05:03 UTC,-73.98891449,40.73749924,-73.97174072,40.74633408,2
19426,27:00.0,6.1,2010-09-14 13:27:00 UTC,-73.870927,40.773548,-73.928253,40.705613,1
75859,38:31.0,8.5,2010-08-20 01:38:31 UTC,-74.005541,40.740397,-73.996715,40.722148,1
927646,58:00.0,11.5,2012-11-10 13:58:00 UTC,-73.990542,40.766732,-74.00793,40.740415,1
506154,47:35.0,5.3,2011-06-07 07:47:35 UTC,-73.96268,40.764052,-73.973676,40.764591,2
419867,56:00.0,7,2013-11-16 10:56:00 UTC,-73.96317,40.758072,-73.976758,40.764222,6
114177,52:00.0,7,2013-05-10 16:52:00 UTC,-73.952695,40.783625,-73.95539,40.7693,2
519391,32:23.0,12.9,2012-01-07 20:32:23 UTC,-74.000947,40.757431,-73.950951,40.770604,2
463428,10:00.0,15.7,2011-02-12 16:10:00 UTC,-73.994545,40.717082,-73.964782,40.762893,2
524571,33:54.0,6,2013-03-24 22:33:54 UTC,-74.003045,40.734642,-73.989738,40.747209,1
873866,56:04.0,7.5,2014-03-05 07:56:04 UTC,-73.96607,40.763157,-73.98435,40.759751,1
711766,21:51.0,8.9,2011-05-06 19:21:51 UTC,-73.988612,40.774191,-74.004702,40.741716,1
175725,10:00.0,8.1,2010-09-16 19:10:00 UTC,-73.998058,40.75579,-73.980128,40.745065,1
123616,02:46.0,8.5,2013-05-24 19:02:46 UTC,-73.960875,40.75665,-73.985317,40.763182,3
934795,44:00.0,30.67,2009-11-15 10:44:00 UTC,-73.973595,40.755342,-73.861935,40.767732,1
977811,44:00.0,5.7,2011-06-04 10:44:00 UTC,-73.992515,40.730758,-74.004615,40.718667,1
736570,01:22.0,4.9,2012-08-29 21:01:22 UTC,-73.994302,40.746314,-73.986927,40.759897,1
895931,45:20.0,6.9,2012-02-02 16:45:20 UTC,-74.00521,40.721278,-73.987781,40.749612,1
159764,44:00.0,6,2013-03-07 10:44:00 UTC,-73.98355,40.756127,-73.99113,40.750695,1
628010,12:38.0,7.5,2013-06-20 08:12:38 UTC,-73.980662,40.7339,-74.001871,40.73372,1
662955,43:00.0,19,2014-02-01 13:43:00 UTC,-73.970992,40.764392,-73.99137,40.717672,1
965693,11:55.0,25.5,2014-11-05 04:11:55 UTC,-73.993576,40.721048,-73.903007,40.770657,3
471475,23:00.0,10.9,2009-08-21 09:23:00 UTC,-73.958588,40.772533,-73.982723,40.751768,1
412679,17:00.0,8,2013-01-25 13:17:00 UTC,-73.964445,40.76386,-73.964445,40.76386,2
418359,43:00.0,17.7,2011-06-11 12:43:00 UTC,-74.011603,40.702783,-73.986973,40.755492,5
645406,31:00.0,17.7,2011-05-05 09:31:00 UTC,-73.919743,40.743502,-73.976945,40.759362,5
68405,34:00.0,8.1,2009-10-30 13:34:00 UTC,-73.991028,40.742415,-74.007205,40.737005,1
576545,52:00.0,16.5,2011-07-01 19:52:00 UTC,-73.958762,40.816047,-73.990672,40.757505,2
593524,52:36.0,5.3,2011-04-05 08:52:36 UTC,-73.91646633,40.74316728,-73.93634114,40.74826173,1
724047,10:00.0,29.1,2009-05-24 13:10:00 UTC,-73.967657,40.756293,-73.967657,40.756293,1
385760,28:40.0,9,2013-01-24 18:28:40 UTC,-73.961359,40.765209,-73.971763,40.764186,1
303241,31:00.0,10.9,2010-08-02 13:31:00 UTC,-73.971287,40.760902,-74.005088,40.74146,1
477015,10:05.0,31.87,2010-07-16 06:10:05 UTC,-73.986314,40.758932,-73.861803,40.768356,1
813437,19:00.0,22.9,2012-04-03 19:19:00 UTC,-73.950087,40.776378,-73.913625,40.774932,1
573064,57:00.0,10.5,2014-12-14 00:57:00 UTC,-73.989327,40.73036,-73.992182,40.754755,4
796099,00:00.0,5.7,2012-01-06 07:00:00 UTC,-73.954348,40.787478,-73.969805,40.789712,5
167694,28:48.0,8,2014-05-04 15:28:48 UTC,-73.991517,40.77453,-73.975762,40.786595,1
