,key,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
766064,16:00.0,5.7,2011-09-09 18:16:00 UTC,-73.958502,40.780702000000005,-73.973262,40.789491999999996,1
568532,00:00.0,21.5,2012-09-30 00:00:00 UTC,-73.949278,40.788117,-73.98531,40.723515,3
244424,39:00.0,9.0,2013-11-27 18:39:00 UTC,-73.979057,40.744407,-73.991235,40.749107,1
778033,15:00.0,6.5,2013-09-01 23:15:00 UTC,-74.00376,40.751792,-73.987685,40.765287,1
780780,48:50.0,19.0,2013-05-09 12:48:50 UTC,-73.988218,40.690009,-74.016846,40.641736,1
768911,48:00.0,6.5,2010-04-11 11:48:00 UTC,-73.979005,40.744163,-73.99510500000001,40.733665,3
34758,18:06.0,6.5,2009-08-08 22:18:06 UTC,-73.967984,40.757870000000004,-73.94724699999999,40.778634999999994,1
437567,23:58.0,10.0,2015-05-15 20:23:58 UTC,-73.98284149,40.73091125,-73.98962402,40.74852371,2
871139,36:00.0,17.0,2013-07-11 14:36:00 UTC,-73.99502,40.739540000000005,-73.983292,40.755702,1
403860,26:12.0,10.1,2011-08-06 19:26:12 UTC,-73.978081,40.765826000000004,-73.99319200000001,40.739987,1
142165,55:00.0,29.5,2013-07-16 15:55:00 UTC,-73.961985,40.779387,-73.98973199999999,40.69112,5
667067,38:10.0,25.83,2013-06-09 12:38:10 UTC,-73.945317,40.800215,-73.87134499999999,40.774371,1
816254,15:00.0,4.5,2013-07-05 19:15:00 UTC,-73.991842,40.764562,-73.983965,40.77046,1
782764,38:49.0,52.0,2012-11-11 00:38:49 UTC,-73.789632,40.646961,-73.97684,40.765774,2
195294,08:00.0,7.3,2012-05-15 14:08:00 UTC,-73.982167,40.77315,-73.9799,40.759477000000004,2
261649,26:39.0,7.7,2010-04-21 09:26:39 UTC,-73.95355,40.779678000000004,-73.969988,40.762851,1
757859,45:11.0,8.1,2010-05-27 02:45:11 UTC,-73.989724,40.738933,-73.98974399999999,40.767612,1
133773,46:49.0,6.1,2011-02-05 11:46:49 UTC,-73.994025,40.751186,-73.981186,40.767072,1
226924,33:10.0,13.5,2015-04-16 12:33:10 UTC,-73.98445129,40.76966095,-74.01126862,40.728588099999996,2
400311,45:00.0,4.0,2013-03-13 16:45:00 UTC,-73.95586999999999,40.772027,-73.95226,40.77293,1
532787,31:00.0,4.9,2010-05-15 03:31:00 UTC,-74.00639,40.739427,-73.998502,40.745275,1
225843,07:29.0,6.5,2012-03-24 16:07:29 UTC,-73.97747700000001,40.74644,-73.975678,40.760515000000005,1
847881,41:00.0,7.7,2009-12-21 18:41:00 UTC,-73.978808,40.744815,-73.981085,40.725343,1
825764,05:00.0,5.0,2013-11-16 00:05:00 UTC,-73.967097,40.803892,-73.972877,40.793465000000005,1
247507,08:00.0,5.0,2014-11-25 07:08:00 UTC,-73.97985,40.783614,-73.969348,40.787045,1
