Public or Private,Apps received,Apps accepted,New students,Percent from top 10%,Percent from top 25%,FT undergrads,PT undergrads,in_state tuition,out_of_state tuition,room,board,fees,book costs,personal costs,PhD Faculty,faculty_student ratio,Graduation rate
2,3847,3433,527,9,35,1010,12,9384,9384,2420,2420,395,600,500,22,14.3,118
2,1377,572,178,95,100,654,5,17230,17230,3320,3370,465,700,900,100,8.2,100
2,4019,2779,888,40,73,3891,128,13584,13584,5928,,396,630,1278,88,13.9,100
2,4302,992,418,83,96,1593,5,19760,19760,2650,2650,272,660,1598,93,8.4,100
2,13865,2165,1606,90,100,6862,320,18485,18485,3370,3040,1335,500,1920,97,9.9,100
2,810,484,356,6,33,2155,191,9200,9200,2400,2400,200,1000,4200,65,24.1,100
1,1576,1326,913,13,50,3689,2200,1920,3840,,,86,200,400,52,20.3,100
2,2961,1932,628,24,68,2669,616,10800,10800,2120,2980,310,575,1090,71,14.1,100
2,798,620,238,14,41,1165,1232,9800,9800,2280,2150,50,400,1150,46,11.1,100
2,2491,1110,573,57,88,2213,35,5224,5224,,,650,525,350,65,18.4,100
2,5892,2718,756,46,72,2854,594,14500,14500,1880,1405,,700,1125,75,11.7,100
2,96,87,49,,,257,,13936,13936,5104,,70,525,945,56,14.5,100
2,97,62,21,,,286,227,5820,5820,,,20,672,2424,48,9.5,100
2,10705,2453,1317,95,99,5217,83,19840,19840,3040,3470,,630,2115,96,5.8,99
2,4186,1245,526,81,96,1988,29,19629,19629,2855,2935,141,500,1200,94,9,99
2,13218,2042,1153,90,98,4540,146,19900,19900,2696,3214,400,675,1575,91,8.4,99
2,6756,1930,871,78,96,3376,55,18624,18624,3740,2924,486,550,300,97,5.9,99
2,2989,1855,691,28,63,2988,1726,4990,4990,1725,1835,225,500,1250,75,18.1,99
2,888,734,393,26,60,1433,27,12730,12730,2652,1862,901,500,1525,74,9.9,98
2,1769,1092,437,41,80,1757,81,10965,10965,1900,2100,210,450,1250,60,14.2,98
2,8587,2273,1087,87,99,3918,32,19545,19545,3255,2815,105,550,1100,95,4.7,98
1,11223,5285,2082,32,72,9652,742,3900,7994,,,,500,732,77,17.9,98
2,489,384,120,23,52,700,45,10575,10575,1600,2352,,400,620,46,13,98
2,3320,1840,381,73,93,1320,,13380,13380,2070,2136,120,600,600,91,13.6,97
2,7700,3700,1906,79,96,7671,30,16850,16850,4400,,147,600,1350,96,13.1,97
2,3646,2300,585,25,69,2022,926,12170,12170,,,275,480,800,79,13,97
2,13789,3893,1583,90,98,6188,53,18590,18590,2996,2954,480,625,1162,95,5,97
2,2095,1553,514,15,40,1873,94,12950,12950,5400,,300,450,1120,70,14.5,97
2,12586,3239,1462,87,95,5643,349,19528,19528,3574,2352,650,720,1100,99,7.6,97
2,3456,1171,451,64,89,2016,39,25750,25750,,,170,540,1000,87,10.5,97
2,13608,2926,1616,88,97,6573,,18669,18669,,,,840,1355,,9.7,96
2,247,189,100,19,49,309,639,11412,11412,2900,3530,150,500,900,89,8.3,96
2,8506,4168,1236,76,97,5544,192,17600,17600,3600,2400,230,600,870,97,5,96
2,3356,1019,418,76,100,1490,8,19030,19030,2620,3265,325,1495,875,93,11.2,96
2,1611,960,342,27,60,1089,210,13850,13850,2020,1900,270,470,810,80,13.2,96
2,1432,888,317,29,58,1121,493,10860,10860,3090,2670,530,550,900,56,12.9,96
2,380,237,104,30,56,716,1108,11000,11000,5550,,,500,500,36,7.8,96
2,7759,5588,1477,30,68,6362,1292,15925,15925,3170,3337,445,400,300,89,13.4,96
2,5139,3346,973,20,55,3717,1358,14400,14400,3250,2950,375,450,1100,66,18.4,96
2,1831,842,379,17,45,1846,,16684,16684,3354,3318,90,1500,1700,27,10,96
2,11115,2881,1390,71,93,5881,406,18300,18300,2590,4541,156,670,1700,91,7.2,95
2,2075,1727,520,49,81,2501,198,11800,11800,1300,1960,450,500,800,87,14.2,95
2,2994,1691,659,70,95,2675,22,18000,18000,6300,,355,400,900,92,11.3,95
2,2339,307,197,,100,959,26,,,4700,4000,300,860,1450,67,8.1,95
1,13703,1610,1212,59,92,4229,,,,,,2380,1100,,37,8.8,95
2,2128,927,292,76,97,1083,,18833,18833,3400,2835,182,685,1100,94,10.6,95
2,3203,1255,413,81,97,1387,,19124,19124,3384,3200,192,772,728,93,8.8,95
2,1163,927,386,16,49,1685,556,8840,8840,2049,2640,110,750,2775,67,11.4,95
1,15849,5384,2678,74,95,11278,114,3724,12212,1816,1976,756,500,1000,90,9.5,95
2,4784,3346,781,30,66,2984,1037,15000,15000,6200,,310,700,1100,86,15.1,94
2,2007,1139,407,30,68,1680,,16600,16600,2495,4490,660,500,1045,93,16.8,94
2,6411,2140,1078,96,99,4481,28,20100,20100,3200,2775,600,725,1600,99,10.1,94
1,11522,1463,1181,50,85,4125,,,,,,,,,54,6.8,94
2,2373,956,452,77,96,1601,6,17295,17295,2650,2420,169,600,1011,95,12,94
2,1470,1199,425,21,76,1820,558,11040,11040,1950,2890,320,400,900,89,13.3,94
2,629,501,183,10,26,754,187,9400,9400,2100,2350,130,400,,64,12.8,94
2,3461,1541,577,53,90,1599,,25180,25180,,,,650,1120,79,9.8,93
2,4856,2492,727,46,75,2649,25,19510,19510,2690,2875,145,500,750,95,10.5,93
2,19227,7171,3286,81,95,13072,,19000,19000,3658,2580,66,510,1060,91,6.9,93
2,6361,5293,1507,26,51,5889,665,11380,11380,2160,2060,450,500,900,81,14.8,93
2,6548,3813,862,49,85,3316,31,18550,18550,2545,2205,110,800,1200,95,14.2,93
2,12394,5232,2464,85,100,9205,531,17020,17020,3700,3570,1836,500,1544,95,6.3,93
2,2425,1818,601,62,93,2110,95,12240,12240,3225,1925,140,500,490,94,9.6,93
1,7117,3106,1217,68,88,5186,134,2808,11720,2318,1980,1748,600,800,89,12.1,93
2,4772,1973,712,60,86,2714,27,19130,19130,3290,2310,660,1400,1400,90,12.1,92
2,12289,5200,1902,85,98,7450,45,16404,16404,,,,759,1585,96,6.8,92
2,7614,3605,1205,60,90,4598,,19701,19701,3038,2930,503,600,928,99,10.3,92
2,900,473,217,22,47,621,11,4400,4400,2000,1400,800,800,900,53,10.4,92
2,4010,2402,572,36,59,2018,226,18730,18730,3000,2740,75,600,1000,93,10.5,92
2,4471,2942,910,29,60,3674,493,11584,11584,2536,3450,975,650,800,83,14.1,92
2,3037,1130,390,80,98,1500,,17720,17720,,,180,800,1000,94,8.9,91
2,3035,1546,438,42,93,1630,232,18740,18740,2935,3365,210,600,500,86,10.7,91
2,3058,1798,478,46,84,1737,244,18810,18810,3540,2150,780,500,680,91,10.4,91
2,2286,1668,564,37,70,2943,1260,11985,11985,2160,1921,,400,1500,93,9.2,91
2,2895,1249,579,80,96,2195,156,18345,18345,3055,2940,360,500,700,94,10.6,91
2,2848,1319,456,58,84,1720,35,18930,18930,2890,2700,900,500,1000,83,10.2,91
2,2694,1579,489,75,93,1870,12,19292,19292,1623,2334,126,550,550,81,10.4,91
2,1239,1017,383,10,34,1207,157,7820,7820,1750,1650,300,550,1550,69,13.9,91
2,2496,1402,531,53,95,2121,69,17926,17926,4786,3338,720,600,850,83,10.3,91
2,3140,1783,454,40,82,1646,24,19700,19700,2550,2500,,300,800,91,9.6,91
2,6397,4304,1092,40,84,4298,132,18700,18700,3160,2420,250,750,1130,96,12.5,91
2,7935,1514,633,87,95,2674,,9950,9950,3100,2625,365,525,1330,91,8.6,91
2,253,216,196,,,829,1817,5100,5100,1116,1675,350,600,1702,50,13.6,91
2,1777,1151,382,31,55,1668,1052,16425,16425,2830,2390,470,955,750,81,13.3,90
2,280,143,79,5,27,327,110,5590,5590,1930,970,,650,1952,53,15.1,90
2,205,179,129,13,45,570,22,12816,12816,2634,2710,210,1125,2000,,9.6,90
2,6348,2999,922,68,94,3340,39,18930,18930,3070,3310,486,500,1254,99,5.3,90
2,13112,6179,2154,66,94,8807,,16640,16640,3130,3830,448,500,1300,95,16.6,90
2,2925,1598,632,51,88,2479,95,18820,18820,,,163,500,1050,85,10.3,90
2,8474,3446,911,75,94,3566,1569,18800,18800,3815,2925,,500,1040,96,3.3,90
2,7654,5259,1254,62,93,4879,1274,18350,18350,3431,2344,184,768,1512,91,3.9,90
2,3550,1877,653,53,87,2164,77,18920,18920,5950,,465,600,800,90,9.7,90
2,2096,1512,465,27,59,1442,166,16130,16130,2490,2220,280,400,800,83,13.9,90
2,499,441,199,26,52,846,377,11200,11200,7400,,,600,1300,66,6.8,90
2,3315,1096,425,68,93,1584,3,13750,13750,2019,2600,355,680,1115,81,9.6,90
2,283,201,97,10,45,589,263,8400,8400,,,96,600,900,50,10.6,89
2,2057,1807,828,26,53,4106,982,11712,11712,1716,2321,36,500,800,80,13.8,89
2,5661,2392,903,75,88,3499,172,13850,13850,4360,,,500,1250,95,4.3,89
2,2421,2109,820,27,57,3168,392,11700,11700,3000,2550,,600,450,89,14.5,89
2,1465,810,313,71,95,1088,16,18165,18165,,,375,500,1200,100,12.3,89
2,1742,1382,607,30,64,2258,53,10300,10300,2540,2540,84,475,1200,68,14.1,89
2,2115,1540,494,28,72,2993,347,12825,12825,1150,3225,100,500,1500,85,12.2,89
1,9557,1605,1160,72,95,4236,,,,,,,,,40,8.2,88
1,2186,1835,1263,,,2796,2391,2028,5604,,,,450,950,45,10.5,88
2,2135,1700,491,23,59,1708,689,12000,12000,,,125,500,500,93,13.8,88
2,1170,695,238,14,48,1170,429,7470,7470,4600,,260,250,1400,74,15.3,88
2,3495,1712,528,49,84,1915,123,18732,18732,3297,2907,190,450,1024,94,11.5,88
2,2212,1538,408,44,75,1445,1,19240,19240,1640,2050,610,750,480,95,11.1,88
