TOTAL VALUE ,TAX,LOT SQFT ,YR BUILT,GROSS AREA ,LIVING AREA,FLOORS ,ROOMS,BEDROOMS ,FULL BATH,HALF BATH,KITCHEN,FIREPLACE,REMODEL
344.2,4330.0,9965.0,1880.0,2436.0,1352.0,,6.0,3.0,1.0,1.0,1.0,0.0,None
412.6,5190.0,6590.0,1945.0,3108.0,1976.0,2.0,10.0,4.0,,1.0,1.0,0.0,Recent
330.1,4152.0,7500.0,1890.0,2294.0,1371.0,2.0,,4.0,1.0,1.0,1.0,0.0,None
498.6,6272.0,13773.0,,5032.0,2608.0,1.0,9.0,5.0,1.0,1.0,1.0,1.0,
331.5,4170.0,5000.0,1910.0,2370.0,1438.0,2.0,7.0,3.0,2.0,0.0,1.0,0.0,None
337.4,4244.0,5142.0,1950.0,2124.0,1060.0,1.0,6.0,,1.0,0.0,1.0,1.0,Old
359.4,4521.0,5000.0,1954.0,3220.0,1916.0,2.0,7.0,3.0,1.0,1.0,1.0,0.0,None
320.4,4030.0,10000.0,,2208.0,1200.0,1.0,,,1.0,0.0,1.0,0.0,None
333.5,4195.0,6835.0,1958.0,2582.0,1092.0,1.0,5.0,3.0,1.0,0.0,1.0,1.0,Recent
409.4,5150.0,5093.0,1900.0,4818.0,2992.0,2.0,8.0,4.0,2.0,0.0,1.0,0.0,None
313.0,3937.0,5000.0,1960.0,2624.0,1485.0,1.5,6.0,3.0,2.0,0.0,1.0,1.0,None
344.5,4333.0,6768.0,1958.0,2844.0,1460.0,1.5,6.0,,2.0,0.0,1.0,1.0,None
315.5,,5000.0,1889.0,2196.0,1290.0,2.0,6.0,3.0,1.0,0.0,1.0,0.0,None
,,12288.0,2004.0,4616.0,2378.0,2.0,9.0,4.0,2.0,1.0,1.0,1.0,None
326.2,4103.0,5000.0,1954.0,2536.0,,,,3.0,1.0,,1.0,1.0,None
298.2,3751.0,5000.0,1940.0,2129.0,864.0,1.0,7.0,3.0,2.0,0.0,1.0,0.0,None
313.1,3938.0,6949.0,1880.0,2612.0,1438.0,1.5,7.0,3.0,,1.0,1.0,0.0,Old
344.9,4338.0,10000.0,1950.0,2099.0,1445.0,1.0,7.0,3.0,1.0,1.0,1.0,1.0,None
,4160.0,5000.0,,2408.0,1470.0,2.0,7.0,3.0,1.0,0.0,1.0,,None
348.0,4377.0,9001.0,1875.0,,,2.0,7.0,3.0,1.0,0.0,1.0,0.0,None
317.5,3994.0,4450.0,1920.0,1400.0,1232.0,,7.0,3.0,1.0,0.0,1.0,0.0,None
330.8,4161.0,5000.0,1889.0,2560.0,,1.5,6.0,,1.0,0.0,1.0,0.0,Recent
357.8,,12255.0,1944.0,2631.0,1275.0,1.5,6.0,3.0,1.0,1.0,1.0,1.0,None
414.7,5216.0,12972.0,,3796.0,2054.0,1.5,,,3.0,0.0,1.0,0.0,None
318.8,4010.0,,1900.0,2512.0,1371.0,2.0,7.0,3.0,1.0,1.0,1.0,0.0,None
346.2,4355.0,5000.0,1910.0,2655.0,1541.0,2.0,7.0,,1.0,0.0,1.0,0.0,None
245.1,3083.0,4142.0,1880.0,1892.0,927.0,1.5,5.0,2.0,1.0,0.0,1.0,0.0,None
317.4,3992.0,5000.0,1910.0,2596.0,1244.0,1.5,7.0,3.0,1.0,0.0,1.0,0.0,None
,3111.0,4012.0,1896.0,1994.0,1048.0,1.5,6.0,,1.0,0.0,1.0,0.0,None
320.8,4035.0,13275.0,1910.0,1516.0,808.0,1.5,6.0,2.0,1.0,1.0,,0.0,None
328.8,4136.0,4717.0,1906.0,2824.0,1469.0,1.5,6.0,3.0,2.0,0.0,1.0,0.0,None
293.6,3693.0,4289.0,1910.0,2286.0,1436.0,2.0,7.0,3.0,1.0,0.0,1.0,0.0,None
280.1,3523.0,10688.0,1890.0,3014.0,1625.0,2.0,7.0,4.0,1.0,0.0,1.0,,
342.5,4308.0,4717.0,1925.0,2802.0,1620.0,2.0,7.0,3.0,1.0,1.0,1.0,0.0,
337.2,4241.0,5000.0,1920.0,3112.0,1906.0,2.0,9.0,,2.0,0.0,1.0,0.0,None
336.5,4233.0,6842.0,1910.0,2269.0,1393.0,2.0,6.0,3.0,2.0,0.0,1.0,,None
315.6,3970.0,6675.0,1945.0,2392.0,1394.0,1.5,6.0,2.0,2.0,0.0,1.0,0.0,None
296.5,3729.0,5683.0,1960.0,,1452.0,1.0,,3.0,1.0,1.0,1.0,1.0,None
239.7,3015.0,5450.0,1963.0,2112.0,960.0,1.0,5.0,3.0,1.0,0.0,1.0,1.0,None
318.4,4005.0,4717.0,1915.0,3222.0,1803.0,1.0,7.0,3.0,1.0,1.0,1.0,0.0,None
431.5,5428.0,6733.0,1990.0,2880.0,,2.0,7.0,3.0,2.0,1.0,1.0,1.0,
349.8,4400.0,7242.0,1910.0,2496.0,1460.0,2.0,7.0,3.0,1.0,1.0,1.0,0.0,None
344.0,4327.0,5683.0,1940.0,3136.0,1870.0,2.0,,4.0,,0.0,1.0,1.0,
358.3,4507.0,6138.0,1910.0,2500.0,1690.0,2.0,7.0,3.0,1.0,1.0,1.0,0.0,None
346.2,4355.0,11250.0,1900.0,2830.0,1391.0,1.5,6.0,3.0,1.0,0.0,1.0,0.0,
490.7,6173.0,,,4100.0,2640.0,2.0,6.0,3.0,,,1.0,1.0,Recent
,,,1996.0,2320.0,1500.0,2.0,7.0,3.0,2.0,,1.0,,None
325.3,4092.0,4717.0,1910.0,,1572.0,2.0,7.0,3.0,,1.0,1.0,0.0,None
340.5,4283.0,8489.0,1950.0,2368.0,1326.0,1.5,6.0,3.0,1.0,1.0,1.0,1.0,None
432.5,5440.0,7139.0,1996.0,2340.0,,2.0,7.0,3.0,2.0,1.0,1.0,0.0,None
334.7,,4584.0,1907.0,3288.0,1694.0,,7.0,,1.0,,1.0,0.0,None
314.3,3953.0,7193.0,1900.0,2740.0,1508.0,2.0,7.0,3.0,1.0,,1.0,0.0,
405.5,5101.0,3867.0,1996.0,2431.0,1560.0,,7.0,3.0,2.0,1.0,1.0,1.0,None
