Year,co2,ch4,n20,syn,temp
1880,289.76,836.6,275.93,37,13.51
1881,289.93,838.4,276.16,37,13.59
1882,290.12,840.3,276.39,37,13.61
1883,290.32,842.23,276.6,38,13.5
1884,290.55,844.18,276.81,38,13.43
1885,290.89,846.03,277.01,38,13.39
1886,291.32,847.51,277.19,38,13.4
1887,291.76,848.62,277.34,38,13.38
1888,292.15,849.64,277.47,38,13.51
1889,292.56,850.77,277.56,38,13.59
1890,293.03,852.01,277.63,38,13.34
1891,293.56,853.29,277.67,38,13.47
1892,294.09,854.75,277.7,38,13.44
1893,294.6,856.56,277.71,38,13.41
1894,295.08,858.79,277.71,38,13.4
1895,295.53,861.2,277.69,38,13.5
1896,295.86,863.61,277.68,38,13.56
1897,296.01,866.19,277.68,38,13.6
1898,296.04,869.08,277.71,38,13.43
1899,296.05,872.24,277.77,38,13.55
1900,296.1,875.58,277.88,38,13.62
1901,296.22,879.04,278.05,38,13.56
1902,296.4,882.76,278.26,38,13.44
1903,296.65,886.87,278.51,37,13.36
1904,297,891.39,278.79,37,13.27
1905,297.44,896.32,279.1,37,13.43
1906,297.88,901.64,279.42,37,13.48
1907,298.32,907.32,279.76,37,13.31
1908,298.73,913.27,280.11,37,13.28
1909,299.06,918.92,280.46,37,13.24
1910,299.31,923.61,280.83,37,13.29
1911,299.54,926.9,281.19,37,13.27
1912,299.82,929.26,281.56,37,13.36
1913,300.17,931.37,281.93,37,13.37
1914,300.59,933.85,282.29,37,13.55
1915,301.06,937.2,282.63,38,13.6
1916,301.57,941.79,282.96,38,13.37
1917,302.11,947.58,283.26,38,13.31
1918,302.61,954.36,283.53,38,13.45
1919,303.05,961.66,283.76,39,13.49
1920,303.39,968.97,283.94,39,13.44
1921,303.66,975.91,284.09,40,13.5
1922,303.89,982.44,284.2,40,13.43
1923,304.13,988.54,284.29,41,13.47
1924,304.39,994.2,284.36,41,13.43
1925,304.66,999.4,284.43,42,13.5
1926,304.99,1004.23,284.53,42,13.61
1927,305.37,1008.97,284.66,43,13.5
1928,305.8,1013.75,284.83,43,13.5
1929,306.23,1018.65,285.04,44,13.35
1930,306.61,1023.51,285.26,45,13.56
1931,306.97,1028.25,285.51,46,13.62
1932,307.3,1033,285.76,46,13.54
1933,307.64,1037.95,286.02,47,13.42
1934,308,1043.27,286.28,48,13.57
1935,308.37,1049.02,286.52,49,13.51
1936,308.75,1054.92,286.74,50,13.56
1937,309.15,1060.66,286.93,52,13.68
1938,309.61,1066.07,287.12,53,13.68
1939,310.08,1071.12,287.3,54,13.68
1940,310.49,1075.74,287.47,57,13.79
1941,310.8,1079.91,287.61,58,13.83
1942,310.99,1083.59,287.7,60,13.8
1943,311.05,1086.58,287.76,62,13.84
1944,310.99,1089.09,287.79,64,13.96
1945,310.87,1091.79,287.81,66,13.83
1946,310.81,1095.18,287.84,68,13.67
1947,310.8,1099.41,287.9,71,13.66
1948,310.87,1104.57,287.97,73,13.62
1949,311.02,1110.54,288.08,76,13.62
1950,311.24,1117.27,288.22,78,13.53
1951,311.48,1124.79,288.41,81,13.64
1952,311.79,1133.24,288.65,84,13.72
1953,312.19,1142.61,288.96,87,13.79
1954,312.75,1152.87,289.33,91,13.58
1955,313.46,1164.12,289.75,95,13.56
1956,314.13,1176.11,290.19,100,13.51
1957,314.68,1187.5,290.62,106,13.75
1958,315.17,1198.16,291.02,113,13.78
1959,315.66,1208.98,291.37,121,13.74
1960,316.15,1220.25,291.69,130,13.69
1961,316.67,1231.97,291.98,141,13.76
1962,317.24,1244.13,292.26,153,13.74
1963,317.84,1256.57,292.54,167,13.77
1964,318.45,1268.88,292.83,182,13.51
1965,319.1,1280.9,293.14,200,13.61
1966,319.86,1293.5,293.49,219,13.66
1967,320.76,1307.43,293.91,240,13.69
1968,321.77,1323.13,294.38,264,13.64
1969,322.82,1340.1,294.93,289,13.78
1970,323.89,1357.58,295.53,318,13.73
1971,324.97,1374.96,296.18,349,13.62
1972,326.09,1392,296.85,382,13.72
1973,327.28,1408.62,297.54,418,13.86
1974,328.46,1424.45,298.23,457,13.64
1975,329.64,1439.75,298.93,499,13.69
1976,330.82,1454.73,299.62,544,13.6
1977,333.48,1469.4,300.3,592,13.89
1978,335.26,1483.85,300.96,643,13.78
1979,336.53,1498.4,300.67,695,13.88
1980,337.63,1513.57,301.44,745,13.98
1981,338.12,1529.87,301.18,781,14.04
1982,340.02,1546.71,303.31,828,13.84
1983,341.84,1563.4,303.98,866,14.01
1984,343.26,1579.62,304.65,905,13.86
