latitude,longitude,rwi,error
-3.0198411,-78.8708496,0.278,0.489
-0.3845186,-78.4753418,0.585,0.522
-1.6147764,-80.2990723,-0.677,0.406
-0.5383221,-77.0910645,-0.608,0.428
-4.0724942,-78.8928223,-0.317,0.460
0.0988769,-79.4860840,-0.581,0.400
-1.6806671,-80.1892090,-0.276,0.413
0.4724067,-77.8820801,-0.161,0.411
-3.0637244,-78.9367676,-0.351,0.468
-0.7580345,-79.7058105,-0.546,0.486
0.2966295,-79.3981934,-0.646,0.482
0.6262082,-78.1237793,-0.155,0.500
-1.1974226,-80.0354004,-0.551,0.452
-4.6640299,-79.4641113,-0.472,0.396
-0.5163504,-80.2111816,-0.929,0.401
-0.0988769,-79.0246582,-0.619,0.414
-0.1428221,-79.9035645,-0.534,0.421
-0.4284628,-78.5412598,0.283,0.481
0.3405742,-79.4641113,0.555,0.549
-0.5602938,-79.3542480,-0.354,0.494
0.2087398,-78.6511230,-0.952,0.450
0.2526847,-78.5632324,-0.367,0.472
-3.6559638,-79.0246582,-0.891,0.398
1.0216743,-79.2663574,-0.399,0.436
-1.1095498,-80.1672363,0.257,0.416
0.3186019,-79.2443848,0.038,0.502
-1.3072596,-80.4309082,-0.498,0.454
-4.7078283,-79.1564941,-0.801,0.384
-1.7245930,-79.5300293,0.056,0.459
-2.7345569,-78.7170410,-0.184,0.503
-1.4829887,-78.5412598,-0.756,0.481
-1.5708481,-78.5412598,0.535,0.528
-3.6121068,-78.5852051,0.322,0.516
0.7580345,-77.7722168,-0.678,0.447
-4.4669035,-79.7937012,-0.277,0.384
0.4724067,-79.6179199,-0.446,0.412
-0.0769043,-80.0354004,-0.314,0.433
-2.0759616,-79.2663574,-0.481,0.463
-1.2633253,-78.7609863,0.465,0.500
0.0329590,-78.6730957,0.022,0.455
0.0769043,-79.5080566,-0.601,0.444
-2.8003980,-78.8269043,0.234,0.502
-4.2697242,-79.8376465,-0.200,0.414
-0.3625464,-79.9255371,-0.421,0.510
0.0769043,-79.4201660,-0.188,0.446
0.8019758,-79.4201660,-0.666,0.408
-1.4390576,-80.2111816,-0.421,0.419
-1.7465556,-80.5627441,-0.462,0.409
-0.6701507,-78.8928223,-0.549,0.410
-1.5488836,-79.4641113,-0.423,0.532
-0.2966295,-77.7722168,-0.164,0.443
-3.9629009,-79.9694824,-0.221,0.448
-1.4610233,-80.2990723,-0.064,0.419
-3.1734250,-79.9255371,0.066,0.488
-0.1867672,-78.4753418,1.412,0.505
-1.1095498,-80.8923340,-0.344,0.423
0.8239462,-79.3542480,-0.862,0.391
-1.5928123,-78.5632324,0.112,0.489
-0.9777357,-78.9367676,-0.043,0.453
-2.9978987,-79.7497559,-0.191,0.513
-3.1953637,-79.4641113,-0.349,0.434
-0.8459165,-80.0134277,-0.838,0.444
-0.9118267,-76.9152832,-0.375,0.508
-0.3405742,-78.8708496,-0.081,0.438
-0.9337965,-77.7282715,-0.798,0.385
-2.2296616,-79.9914551,0.103,0.583
-0.9997051,-78.6950684,0.365,0.509
-1.5269188,-79.4421387,-0.311,0.451
-1.1315182,-80.3430176,-0.282,0.475
0.3186019,-79.3981934,-0.105,0.494
0.1208495,-79.4860840,-0.436,0.426
0.6262082,-79.3981934,-0.496,0.406
-2.7784514,-79.7058105,-0.391,0.437
-2.0320445,-78.0358887,-0.781,0.417
-1.4170918,-80.4748535,-0.495,0.404
-1.9222467,-79.6838379,-0.628,0.499
-1.9002862,-79.7277832,0.379,0.572
0.3405742,-79.5520020,-0.691,0.446
-0.0549316,-79.6179199,-0.335,0.470
-2.9978987,-78.9147949,-0.201,0.497
-1.3511931,-79.7497559,0.000,0.440
-3.4366581,-79.3322754,0.234,0.480
-0.9557662,-77.4645996,-0.666,0.498
0.5383221,-79.9255371,-0.727,0.441
-1.9222467,-78.0139160,-0.030,0.504
-2.5370123,-80.0134277,-0.485,0.452
-1.9442068,-79.7277832,0.127,0.548
-2.3174830,-79.5959473,-0.426,0.500
-3.2611771,-79.9475098,1.205,0.498
-2.9759559,-78.9367676,-0.468,0.502
-0.0549316,-79.5959473,-0.731,0.464
-3.6121068,-79.5080566,-0.448,0.393
-0.4504348,-78.5632324,0.247,0.484
-2.9101249,-78.7609863,-0.010,0.499
-4.2258996,-79.2883301,-0.044,0.493
-3.9848207,-80.0793457,0.127,0.457
-0.1208495,-76.4758301,-0.455,0.508
0.2746571,-79.6179199,-0.566,0.403
-0.6701507,-79.9914551,-0.303,0.485
-4.0505767,-80.1013184,-0.881,0.436
0.2087398,-79.9914551,-0.455,0.475
0.5602938,-79.6838379,-0.481,0.405
0.6921218,-78.1896973,-0.984,0.444
-0.0109863,-76.9152832,-0.294,0.439
-0.2966295,-76.6296387,-0.464,0.527
-0.2087398,-78.5412598,0.183,0.564
-0.0769043,-78.9367676,-0.607,0.384
-1.3951258,-80.3430176,-0.576,0.424
-1.3292264,-79.9694824,-0.540,0.419
-2.7784514,-78.7829590,-0.336,0.498
0.2966295,-78.4094238,-0.206,0.397
-1.6367402,-79.2883301,-0.302,0.498
-3.9629009,-79.5300293,-0.651,0.525
0.2746571,-77.0910645,-0.270,0.405
-2.3833455,-80.6945801,0.140,0.541
-2.7126091,-80.2770996,0.186,0.481
-3.2831139,-79.7937012,0.114,0.542
-0.1867672,-76.6516113,0.939,0.543
-1.0436434,-79.5739746,-0.638,0.501
-1.8124418,-80.4089355,-0.745,0.402
0.0329590,-79.6618652,-0.981,0.449
-0.1867672,-78.8928223,-0.866,0.444
-0.4504348,-77.0251465,0.483,0.537
0.2746571,-78.1237793,-0.025,0.517
-0.8459165,-78.6950684,0.338,0.522
-3.3708564,-79.9035645,-0.272,0.472
-0.2746571,-78.2995605,-0.606,0.483
-1.5269188,-80.3430176,-0.508,0.435
-3.3489215,-79.2224121,-0.622,0.433
-3.5463174,-80.1013184,0.015,0.458
-2.9540126,-78.9367676,0.090,0.502
-2.0100856,-80.5407715,-0.273,0.523
-2.8662354,-79.6838379,-0.485,0.534
-3.3708564,-79.1125488,-0.699,0.458
-2.2077054,-79.5520020,0.491,0.554
0.7800052,-79.8815918,-0.554,0.408
-1.2413579,-79.0026855,-0.341,0.461
-1.0875811,-80.3869629,0.045,0.493
-2.3613917,-79.6838379,-0.297,0.450
-3.5024552,-80.0793457,0.095,0.533
-0.1428221,-76.7395020,-0.568,0.462
0.2746571,-79.5080566,-0.262,0.421
-0.0109863,-77.3767090,-0.598,0.447
-0.9997051,-79.8596191,-0.693,0.451
-3.1076060,-78.4753418,-0.618,0.463
-3.4805234,-79.4201660,0.000,0.554
-2.2077054,-80.1452637,0.145,0.479
-0.2307123,-79.5300293,-0.519,0.489
-1.3292264,-77.9699707,-0.358,0.492
-0.4504348,-78.7609863,0.144,0.433
0.1867672,-76.7834473,-0.260,0.413
-3.9629009,-78.6730957,-0.161,0.498
0.3845186,-78.4753418,-0.538,0.488
-3.8094460,-79.6179199,-0.241,0.455
-3.4147247,-79.2004395,-0.205,0.484
-3.8752158,-79.5739746,-0.219,0.398
-2.1198775,-79.6838379,-0.418,0.529
-0.8239462,-79.4201660,-0.368,0.480
-1.0216743,-80.4528809,0.849,0.548
-1.8783255,-79.6838379,0.013,0.486
0.1428221,-78.0578613,0.110,0.524
0.0988769,-79.7058105,-0.237,0.388
-0.4943786,-79.6838379,-0.106,0.403
0.2966295,-78.1677246,0.297,0.493
-0.0109863,-79.5520020,-0.758,0.403
-0.2746571,-79.7058105,-0.611,0.433
-0.9118267,-77.2888184,-0.505,0.386
-0.5163504,-77.0251465,-0.872,0.490
-1.7245930,-77.8820801,0.030,0.479
-0.2746571,-80.0134277,-0.533,0.461
-1.7904800,-80.0573730,-0.434,0.487
-0.8239462,-80.1013184,-0.432,0.470
-2.5370123,-78.5632324,-0.709,0.404
-1.0656124,-80.3430176,-0.344,0.510
-0.8459165,-78.6071777,0.142,0.514
-0.9557662,-80.3869629,-0.264,0.483
-1.1315182,-77.8161621,-0.146,0.464
-2.3174830,-79.8156738,0.029,0.454
-0.4724067,-80.2331543,-0.599,0.435
-1.5928123,-80.5847168,-0.435,0.425
0.6042368,-79.7058105,-0.234,0.390
0.7800052,-80.0573730,-0.295,0.486
-4.0286586,-79.7937012,0.147,0.479
-0.7580345,-80.0793457,-0.469,0.439
-3.1953637,-79.4860840,-0.333,0.500
-0.6481795,-80.2990723,0.316,0.525
-3.6778914,-79.5959473,0.385,0.517
-1.3951258,-79.0246582,0.174,0.530
-0.2966295,-79.2663574,-0.258,0.470
-0.5163504,-80.1452637,-0.413,0.397
-1.1315182,-79.2224121,-0.056,0.499
-2.5370123,-78.9587402,0.361,0.497
-0.9557662,-80.2331543,-0.125,0.533
-0.3625464,-78.5632324,0.717,0.540
-1.9661667,-78.7170410,0.093,0.450
-0.1867672,-80.2551270,-0.122,0.527
